rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1479513000026756823,,91888,,1479513000,26547908,"""/imu""",,6.131628984324002e-05,0.02129695692956736,0.9694269414669457,-0.24445413387486398,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.08571287989616394,0.06601660698652267,9.292716979980469,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000031173738,,91889,,1479513000,30889034,"""/imu""",,8.341644100589962e-05,0.02133775258860734,0.9694284785760091,-0.24444444677014757,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,0.00459012296050787,0.03951394930481911,9.445348739624023,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000031789799,,91890,,1479513000,31483888,"""/imu""",,0.00010460356057361375,0.021386282691963722,0.9694328439524597,-0.24442277962131947,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.12575669586658478,0.1100216880440712,9.809812545776367,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000036175419,,91891,,1479513000,35860061,"""/imu""",,0.00011852973175136887,0.02143253840019982,0.9694364715038513,-0.24440438823931987,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.10787702351808548,0.20882990956306458,10.0283784866333,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000036760129,,91892,,1479513000,36465883,"""/imu""",,0.00012795128931488158,0.021480151786063884,0.9694428043152733,-0.24437512415388435,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.18347859382629395,0.2083171159029007,10.22752857208252,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000041168143,,91893,,1479513000,40895938,"""/imu""",,0.0001326275166567011,0.021518384193303784,0.9694418820637564,-0.24437564867980083,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.2580137848854065,0.22598160803318024,10.320752143859863,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000041715407,,91894,,1479513000,41429042,"""/imu""",,0.0001477426429500112,0.021555597856656988,0.9694463396046273,-0.24435475819116848,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.39802342653274536,0.29816195368766785,10.610639572143555,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000046389797,,91895,,1479513000,45995950,"""/imu""",,0.00015455407054816393,0.021564776275583612,0.9694538482090298,-0.24432406096989756,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.4191766381263733,0.532514214515686,10.45895767211914,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000047068735,,91896,,1479513000,46751976,"""/imu""",,0.00016026724150126431,0.021547729361155933,0.9694591587631125,-0.24430460067080556,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.44819945096969604,0.5449740886688232,10.4901762008667,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000051358017,,91897,,1479513000,50911903,"""/imu""",,0.00016845844404883852,0.021506797487911546,0.9694640081727609,-0.24428865366773891,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.2996956408023834,0.7536489367485046,10.207756996154785,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000051948254,,91898,,1479513000,51626920,"""/imu""",,0.00016080971260223136,0.02145509061078756,0.9694696721910361,-0.24427081082432667,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.16102495789527893,0.7525718808174133,9.975120544433594,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000056179023,,91899,,1479513000,55887937,"""/imu""",,0.00016133697363208933,0.021412983708333475,0.9694762660810728,-0.24424843022470374,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.06801645457744598,0.7655400037765503,9.652290344238281,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
